App Id,App Name,Keyword,Brand,Volume,Max. Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center widget,false,5,19,11,86,26,250,5,estimated,0,0,1,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control changer,false,5,5,24,91,27,250,3,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control setting,false,5,5,0,73,22,229,17,ranked,-2,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control transform,false,5,5,31,73,22,240,22,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,controlwidget center,false,5,5,6,73,22,236,12,ranked,-1,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,cute wi,false,5,5,21,73,22,245,Unranked,unranked,-250,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,decorative options,false,5,5,12,73,22,250,190,ranked,-188,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget contr simple,false,5,5,25,93,28,232,3,ranked,2,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,and theme,false,5,5,52,82,25,248,7,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control designed,false,5,5,22,98,29,250,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control modernos,false,5,5,0,100,30,175,1,ranked,12,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control pack,false,5,5,7,92,28,249,3,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control unique,false,5,5,37,73,22,208,85,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,controls designed,false,5,5,29,71,21,250,10,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,hemes wallpapers,false,5,5,32,73,22,201,Unranked,unranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,personalized control,false,5,5,81,97,29,250,2,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,stylish apps control,false,5,5,0,99,30,240,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widgy themes,false,5,5,42,73,22,250,19,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,theme control center,false,5,12,16,86,26,250,5,ranked,0,0,11,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panels,false,9,9,8,86,32,238,5,ranked,0,0,13,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,set theme,false,5,23,18,73,22,250,33,estimated,0,0,23,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,personalized,false,7,19,36,87,29,248,4,ranked,0,0,11,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,theme customization,false,7,9,54,79,27,200,7,ranked,2,0,10,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget pink,false,12,12,36,73,31,250,53,ranked,6,0,4,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,center widget,false,7,9,23,77,26,206,9,ranked,-2,0,3,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center widg,true,5,5,8,84,25,250,5,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center widge,true,5,5,11,92,28,216,3,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center widgets,false,5,35,19,97,29,242,2,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control noty,false,5,5,35,73,22,247,89,ranked,-5,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panel theme,false,5,5,17,94,28,250,2,ranked,-1,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control widget center,false,5,5,8,77,23,238,8,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,controlwidget center smart,false,5,5,11,79,24,245,8,ranked,-2,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,custom designs personlize,false,5,5,10,92,28,250,3,ranked,45,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,customize control,false,5,5,5,84,25,225,5,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,customized style,false,5,5,26,73,22,202,84,ranked,144,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,panel themes,false,5,5,29,95,29,249,2,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget conmtr,false,5,5,25,97,29,191,2,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,colorfu widget theme,false,5,5,42,73,22,243,10,ranked,-2,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center wid,true,5,5,5,81,24,219,6,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control multiplicat,false,5,5,16,73,22,250,33,ranked,7,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panel android,false,5,5,0,73,22,219,18,ranked,-3,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panl,false,5,5,0,73,22,200,17,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control personalizado,false,5,5,23,90,27,224,4,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control screen style,false,5,5,21,82,25,211,6,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,customizer control,false,5,5,25,92,28,234,3,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,ưidget theme,false,5,5,75,82,25,250,7,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget themed panels,false,9,9,16,96,35,202,2,ranked,0,0,14,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,all favorite stylish,false,5,5,0,73,22,250,Unranked,unranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,app theme widget,false,5,5,74,79,24,236,7,ranked,-1,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,app widget theme,false,5,5,71,76,23,250,9,ranked,-1,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,centro de control widget,false,5,5,11,96,29,250,2,ranked,0,0,0,0,null
